,year,violent,murder,robbery,population,state,law
1,1977,414.4,14.2,96.8,3.780403,AL,no
2,1978,419.1,13.3,99.1,3.831838,AL,no
3,1979,413.3,13.2,109.5,3.866248,AL,no
4,1980,448.5,13.2,132.1,3.900368,AL,no
5,1981,470.5,11.9,126.5,3.918531,AL,no
6,1982,447.7,10.6,112,3.925229,AL,no
7,1983,416,9.2,98.4,3.934103,AL,no
8,1984,431.2,9.4,96.1,3.951826,AL,no
9,1985,457.5,9.8,105.4,3.97252,AL,no
10,1986,558,10.1,111.6,3.991562,AL,no
11,1987,559.2,9.3,112.2,4.015257,AL,no
12,1988,558.6,9.9,117.8,4.023848,AL,no
13,1989,590.8,10.2,133.9,4.030224,AL,no
14,1990,708.6,11.6,143.7,4.048508,AL,no
15,1991,844.2,11.5,152.8,4.091025,AL,no
16,1992,871.7,11,164.9,4.139269,AL,no
17,1993,780.4,11.6,159.5,4.193114,AL,no
18,1994,683.7,11.9,171.2,4.232965,AL,no
19,1995,632.4,11.2,185.8,4.262731,AL,no
20,1996,565.4,10,167,4.290403,AL,no
21,1997,564.5,9.9,160.5,4.320281,AL,no
22,1998,512.1,8.1,130.9,4.351037,AL,no
23,1999,490.2,7.9,121.2,4.369862,AL,no
24,1977,443.2,10.8,96.8,0.403437,AK,no
25,1978,441.9,12.9,91.3,0.404764,AK,no
26,1979,491.1,13.3,109.6,0.402753,AK,no
27,1980,436,8.9,81.8,0.405315,AK,no
28,1981,615.8,14.6,114.6,0.418488,AK,no
29,1982,623.7,18.5,133.8,0.449611,AK,no
30,1983,613.8,13.8,97.1,0.488417,AK,no
31,1984,621.6,11.6,109.4,0.513703,AK,no
32,1985,581.8,9.8,92.9,0.532492,AK,no
33,1986,570.4,8.6,88,0.544269,AK,no
34,1987,455.4,10.1,73.1,0.53931,AK,no
35,1988,522.8,5.7,72.9,0.541982,AK,no
36,1989,497.7,8,67.6,0.547153,AK,no
37,1990,524.5,7.5,76.7,0.55312,AK,no
38,1991,613.9,7.4,113.2,0.569273,AK,no
39,1992,660.5,7.5,109,0.587073,AK,no
40,1993,760.8,9,122.4,0.596993,AK,no
41,1994,766.3,6.3,146.2,0.600624,AK,no
42,1995,770.9,9.1,155.1,0.601345,AK,yes
43,1996,727.7,7.4,117,0.604918,AK,yes
44,1997,701.1,8.9,106.4,0.608846,AK,yes
45,1998,653.9,6.7,86.6,0.615205,AK,yes
46,1999,631.5,8.6,91.4,0.6195,AK,yes
47,1977,494.2,9.5,138.2,2.425197,AZ,no
48,1978,552.1,9.4,162.9,2.515318,AZ,no
49,1979,593,8.9,175.7,2.63557,AZ,no
50,1980,650.9,10.3,193.6,2.737774,AZ,no
51,1981,575.8,8.1,177.6,2.810127,AZ,no
52,1982,517,8.3,158.6,2.889865,AZ,no
53,1983,494.2,7.2,132.4,2.968928,AZ,no
54,1984,516.1,7.8,131.1,3.067142,AZ,no
55,1985,602.5,8,146.5,3.183535,AZ,no
56,1986,658.3,9.3,169.2,3.308262,AZ,no
57,1987,612.6,7.5,138.4,3.437102,AZ,no
58,1988,610.1,8.5,137,3.535179,AZ,no
59,1989,599.6,6.7,139,3.622176,AZ,no
60,1990,652.4,7.7,160.9,3.679056,AZ,no
61,1991,670.7,7.8,165.7,3.762394,AZ,no
62,1992,670.8,8.1,153.1,3.867333,AZ,no
63,1993,715,8.6,162.9,3.99339,AZ,no
64,1994,703.1,10.5,162,4.147561,AZ,no
65,1995,713.5,10.4,173.8,4.306908,AZ,yes
66,1996,631.5,8.5,167.8,4.432308,AZ,yes
67,1997,623.7,8.2,165.7,4.552207,AZ,yes
68,1998,577.9,8.1,165.2,4.667277,AZ,yes
69,1999,551.2,8,152.5,4.778332,AZ,yes
70,1977,322.9,8.8,83.2,2.20901,AR,no
71,1978,344.1,9.1,80,2.243125,AR,no
72,1979,366.2,9.1,74.6,2.271335,AR,no
73,1980,335.2,9.2,80.9,2.288738,AR,no
74,1981,310.3,9.1,77.4,2.293195,AR,no
75,1982,324.7,8.2,78.8,2.294262,AR,no
76,1983,297.7,7.6,69.3,2.305754,AR,no
77,1984,321.4,7.5,67.6,2.319774,AR,no
78,1985,347.6,7.9,68.5,2.327044,AR,no
79,1986,394.8,8.1,79.7,2.33199,AR,no
80,1987,412,7.6,79.1,2.342359,AR,no
81,1988,422.7,8.7,84.1,2.342638,AR,no
82,1989,473.7,8.4,110.6,2.346387,AR,no
83,1990,532.2,10.3,113.2,2.354343,AR,no
84,1991,593.3,11.1,135.6,2.370666,AR,no
85,1992,576.5,10.8,125.5,2.394098,AR,no
86,1993,593.3,10.2,124.9,2.423743,AR,no
87,1994,595.1,12,128.7,2.450605,AR,no
88,1995,553.2,10.4,125.7,2.480121,AR,no
89,1996,524,9,114,2.504858,AR,yes
90,1997,526.9,9.9,111.5,2.524007,AR,yes
91,1998,490.2,7.9,96.2,2.538202,AR,yes
92,1999,425.2,5.6,79.3,2.551373,AR,yes
93,1977,706,11.5,287,22.3524,CA,no
94,1978,742.9,11.7,306.1,22.83596,CA,no
95,1979,811.1,13,333.8,23.25689,CA,no
96,1980,893.6,14.5,384.2,23.8008,CA,no
97,1981,863,13,388.2,24.28594,CA,no
98,1982,814.7,11.2,372.1,24.82001,CA,no
99,1983,772.6,10.5,340.9,25.36002,CA,no
100,1984,763.4,10.6,327.5,25.84439,CA,no
101,1985,765.3,10.5,327.7,26.44111,CA,no
102,1986,920.5,11.3,342.9,27.10224,CA,no
103,1987,918,10.6,301.3,27.77715,CA,no
104,1988,929.8,10.4,305.8,28.46425,CA,no
105,1989,977.7,10.9,331.8,29.21816,CA,no
106,1990,1045.2,11.9,377,29.95011,CA,no
107,1991,1089.9,12.7,411.3,30.41411,CA,no
108,1992,1119.7,12.7,424.1,30.87592,CA,no
109,1993,1077.8,13.1,405.1,31.14721,CA,no
110,1994,1013,11.8,356.8,31.31718,CA,no
111,1995,966,11.2,331.2,31.49352,CA,no
112,1996,862.7,9.1,295.6,31.78083,CA,no
113,1997,798.3,8,252.5,32.21771,CA,no
114,1998,703.7,6.6,210.6,32.68279,CA,no
115,1999,627.2,6,181.1,33.14512,CA,no
116,1977,511.9,6.3,170.7,2.696142,CO,no
117,1978,498,7.3,159.2,2.766748,CO,no
118,1979,522.1,5.8,157,2.849234,CO,no
119,1980,528.6,6.9,160.1,2.908803,CO,no
120,1981,531.7,8.1,159.5,2.977895,CO,no
121,1982,504.2,6,150.6,3.061569,CO,no
122,1983,476.4,6.4,126.4,3.133628,CO,no
123,1984,457.8,5.8,114,3.169987,CO,no
124,1985,471,5.8,124.2,3.208717,CO,no
125,1986,523.6,7,144.8,3.237447,CO,no
126,1987,467.5,5.8,118.8,3.260478,CO,no
127,1988,472.6,5.7,98.8,3.262281,CO,no
128,1989,471.4,4.4,90,3.275821,CO,no
129,1990,526,4.2,90.6,3.303862,CO,no
130,1991,559.3,5.9,107.4,3.367567,CO,no
131,1992,578.8,6.2,120.5,3.459995,CO,no
132,1993,567.3,5.8,116.7,3.560884,CO,no
133,1994,509.6,5.4,106.9,3.65391,CO,no
134,1995,440.2,5.8,96.2,3.738061,CO,no
135,1996,404.5,4.7,98.2,3.812716,CO,no
136,1997,363.2,4,83.3,3.891293,CO,no
137,1998,377.9,4.6,81.5,3.968967,CO,no
138,1999,340.5,4.6,75.3,4.056133,CO,no
139,1977,282.3,4.2,129.5,3.085722,CT,no
140,1978,315,4.2,154.8,3.091629,CT,no
141,1979,414.2,4.2,193.3,3.095914,CT,no
142,1980,412.5,4.7,218,3.113174,CT,no
143,1981,448.1,5.4,246.1,3.128839,CT,no
144,1982,399.5,5.2,208.5,3.139012,CT,no
145,1983,375,4.1,200.6,3.162343,CT,no
146,1984,393.8,3.9,190.5,3.180023,CT,no
147,1985,402,3.8,190,3.201128,CT,no
148,1986,425.8,4.6,192.2,3.223737,CT,no
149,1987,419,4.9,178.1,3.247291,CT,no
150,1988,455.4,5.4,187.6,3.271958,CT,no
151,1989,511.8,5.9,214.8,3.283409,CT,no
152,1990,553.7,5.1,234.8,3.289056,CT,no
153,1991,539.7,5.7,224.4,3.28864,CT,no
154,1992,495.3,5.1,210.9,3.274997,CT,no
155,1993,456.2,6.3,196.7,3.272325,CT,no
156,1994,455.5,6.6,187.8,3.268346,CT,no
157,1995,405.9,4.6,163.2,3.265293,CT,no
158,1996,412,4.8,169.6,3.26703,CT,no
159,1997,390.9,3.8,152.9,3.268514,CT,no
160,1998,366.3,4.1,133.8,3.272563,CT,no
161,1999,345.6,3.3,123.5,3.282031,CT,no
162,1977,382.1,6,157,0.591829,DE,no
163,1978,440.7,6.7,145.5,0.594777,DE,no
164,1979,537.3,5.7,129.4,0.594982,DE,no
165,1980,474.8,6.9,137,0.594919,DE,no
166,1981,509,6.7,141.1,0.595971,DE,no
167,1982,559.8,5.3,122.4,0.599136,DE,no
168,1983,453.1,4.1,115.3,0.605415,DE,no
169,1984,435.7,4.1,116,0.611517,DE,no
170,1985,433.3,4.8,124.3,0.618284,DE,no
171,1986,427,4.9,124.2,0.627557,DE,no
172,1987,430.7,5.1,122.5,0.636957,DE,no
173,1988,451.7,5.2,118.8,0.647585,DE,no
174,1989,556.5,5.1,138.8,0.658233,DE,no
175,1990,655.2,5,164.8,0.669063,DE,no
176,1991,714.3,5.4,214.7,0.680495,DE,no
177,1992,621.2,4.6,151.2,0.690158,DE,no
178,1993,685.9,5,186.7,0.699475,DE,no
179,1994,644.3,4.7,161.6,0.708416,DE,no
180,1995,725,3.5,198.7,0.718265,DE,no
181,1996,668.3,4.3,179.9,0.72709,DE,no
182,1997,677.9,2.5,179.5,0.735024,DE,no
183,1998,762.4,2.8,194.2,0.744066,DE,no
184,1999,734,3.2,197.9,0.753538,DE,no
185,1977,1426.5,27.8,964.5,0.677229,DC,no
186,1978,1411.7,28,939.6,0.665051,DC,no
187,1979,1608.7,27.4,1054.9,0.650015,DC,no
188,1980,2010.6,31.5,1400.6,0.638284,DC,no
189,1981,2274.8,35.1,1635.1,0.636894,DC,no
190,1982,2123.1,30.7,1448,0.634171,DC,no
191,1983,1915.4,29.4,1235.6,0.632439,DC,no
192,1984,1721.5,28.1,977,0.633382,DC,no
193,1985,1624.8,23.5,835.5,0.634543,DC,no
194,1986,1505.3,31,754,0.638278,DC,no
195,1987,1610.3,36.2,717.4,0.636934,DC,no
196,1988,1921.6,59.5,917.7,0.63043,DC,no
197,1989,2141.9,71.9,1083.1,0.624165,DC,no
198,1990,2458.2,77.8,1213.5,0.603814,DC,no
199,1991,2453.3,80.6,1215.6,0.593239,DC,no
200,1992,2832.8,75.2,1266.4,0.584183,DC,no
201,1993,2921.8,78.5,1229.6,0.576358,DC,no
202,1994,2662.6,70,1107.2,0.564982,DC,no
203,1995,2661.4,65,1239,0.551273,DC,no
204,1996,2469.8,73.1,1186.7,0.538273,DC,no
205,1997,2024.2,56.9,850.9,0.528752,DC,no
206,1998,1718.5,49.7,689.5,0.521426,DC,no
207,1999,1627.7,46.4,644.3,0.519,DC,no
208,1977,686.8,10.2,187.9,8.856183,FL,no
209,1978,765.6,11,206,9.102032,FL,no
210,1979,833.9,12.2,249.4,9.426159,FL,no
211,1980,983.5,14.5,355.5,9.839835,FL,no
212,1981,965.1,15,348.9,10.19278,FL,no
213,1982,896.8,13.5,297.6,10.47141,FL,no
214,1983,826.7,11.2,263.4,10.74984,FL,no
215,1984,868,11.5,276.2,11.03992,FL,no
216,1985,941.1,11.4,312.4,11.35112,FL,no
217,1986,1036.5,11.7,366.8,11.6675,FL,no
218,1987,1024.4,11.4,356.6,11.99729,FL,no
219,1988,1117.7,11.4,403.3,12.3064,FL,yes
220,1989,1109.4,11.1,404,12.63771,FL,yes
221,1990,1244.3,10.7,416.8,13.01836,FL,yes
222,1991,1184.3,9.4,399.8,13.2895,FL,yes
223,1992,1207.2,9,366.9,13.50478,FL,yes
224,1993,1206,8.9,357.6,13.71359,FL,yes
225,1994,1146.8,8.3,328.8,13.9618,FL,yes
226,1995,1071,7.3,299.9,14.1854,FL,yes
227,1996,1051,7.5,289.2,14.42691,FL,yes
228,1997,1023.6,6.9,276.1,14.68335,FL,yes
229,1998,938.7,6.5,242.7,14.90823,FL,yes
230,1999,854,5.7,211.6,15.11124,FL,yes
231,1977,439.8,11.7,140.5,5.219699,GA,no
232,1978,482.8,14.4,166.3,5.295753,GA,no
233,1979,558.7,17.1,213.7,5.401385,GA,no
234,1980,555.3,13.8,197.6,5.486174,GA,no
235,1981,548.2,17.2,196.4,5.568343,GA,no
236,1982,478.2,12.6,154.6,5.649793,GA,no
237,1983,456.7,8.4,144.2,5.728254,GA,no
238,1984,478.6,9.4,144.1,5.834957,GA,no
239,1985,507.2,10.4,164.2,5.962668,GA,no
240,1986,587.6,11.2,213.9,6.08466,GA,no
241,1987,576.5,11.8,209.2,6.20847,GA,no
242,1988,665.3,11.7,243.6,6.316153,GA,no
243,1989,735.8,12.7,271.1,6.411085,GA,no
244,1990,756.3,11.8,263.5,6.506531,GA,yes
245,1991,738.2,12.8,268.2,6.621279,GA,yes
246,1992,733.2,11,249.8,6.759474,GA,yes
247,1993,723.1,11.4,248,6.894092,GA,yes
248,1994,667.7,10,222.6,7.0459,GA,yes
249,1995,657.1,9.5,205.2,7.188538,GA,yes
250,1996,638.7,8.6,205.4,7.332225,GA,yes
251,1997,606.6,7.5,206.7,7.486094,GA,yes
252,1998,572.7,8.1,187.2,7.636522,GA,yes
253,1999,534,7.5,166.4,7.78824,GA,yes
254,1977,224.8,7.2,128,0.918257,HI,no
255,1978,270.1,6.7,173.6,0.931586,HI,no
256,1979,289.7,7.2,184.5,0.953305,HI,no
257,1980,299.5,8.7,190.2,0.96771,HI,no
258,1981,247.6,4.8,148.4,0.978174,HI,no
259,1982,255.7,3.1,156.9,0.993802,HI,no
260,1983,252.1,5.6,130,1.012717,HI,no
261,1984,231.9,3.3,115.9,1.027935,HI,no
262,1985,219.4,4.1,99.4,1.039683,HI,no
263,1986,245.2,4.8,106.3,1.051759,HI,no
264,1987,263.3,4.8,98,1.067911,HI,no
265,1988,257.1,4,84.1,1.079823,HI,no
266,1989,270.1,4.8,83.2,1.094584,HI,no
267,1990,280.9,4,91.4,1.112703,HI,no
268,1991,241.8,4,86.9,1.131412,HI,no
269,1992,258.4,3.6,99.2,1.149926,HI,no
270,1993,261.2,3.8,103.6,1.161508,HI,no
271,1994,262.2,4.2,103.6,1.173903,HI,no
272,1995,295.6,4.7,130.8,1.18049,HI,no
273,1996,280.6,3.4,135.6,1.184434,HI,no
274,1997,277.9,4,118.2,1.189322,HI,no
275,1998,246.9,2,102.7,1.190472,HI,no
276,1999,235,3.7,88.1,1.185497,HI,no
277,1977,236.9,5.5,39.6,0.883471,ID,no
278,1978,236.4,5.4,40,0.910691,ID,no
279,1979,288.7,5.4,43.3,0.932626,ID,no
280,1980,313.4,3.1,46.8,0.947983,ID,no
281,1981,283.3,4.5,37.7,0.962203,ID,no
282,1982,259.2,2.5,30.3,0.973729,ID,no
283,1983,238.7,3.5,27.3,0.981858,ID,no
284,1984,235.3,3.4,24.4,0.990841,ID,no
285,1985,234.8,2.2,26.8,0.994046,ID,no
286,1986,222.5,3.2,21.3,0.990226,ID,no
287,1987,214.2,3.1,24.2,0.985004,ID,no
288,1988,234.7,3.6,20.2,0.985669,ID,no
289,1989,254.6,2.6,15,0.994426,ID,no
290,1990,275.7,2.7,15,1.011882,ID,no
291,1991,290.3,1.8,20.7,1.038915,ID,yes
292,1992,281.4,3.5,21.5,1.06649,ID,yes
293,1993,281.8,2.9,16.9,1.101204,ID,yes
294,1994,285.8,3.5,18.4,1.135459,ID,yes
295,1995,322,4.1,24,1.165,ID,yes
296,1996,267.2,3.6,20.3,1.187706,ID,yes
297,1997,256.8,3.2,19.6,1.210638,ID,yes
298,1998,282.2,2.9,21.5,1.230923,ID,yes
299,1999,244.9,2,17.8,1.2517,ID,yes
300,1977,630.6,9.9,280.3,11.38632,IL,no
301,1978,676.7,9.9,292.9,11.41256,IL,no
302,1979,743.9,10.7,321.1,11.39684,IL,no
303,1980,808,10.6,367,11.4347,IL,no
304,1981,792.5,10.5,373.2,11.44346,IL,no
305,1982,774.3,8.8,346.8,11.42341,IL,no
306,1983,728.1,9.7,318.9,11.40882,IL,no
307,1984,724.9,9,303.8,11.41214,IL,no
308,1985,714.8,8,287.1,11.3998,IL,no
309,1986,808.9,8.9,325.3,11.38726,IL,no
310,1987,796.2,8.3,314.3,11.39118,IL,no
311,1988,810.4,8.6,312.7,11.39018,IL,no
312,1989,845.9,9,335.7,11.40979,IL,no
313,1990,967.4,10.3,394,11.44698,IL,no
314,1991,1039.2,11.3,456.1,11.53597,IL,no
315,1992,977.3,11.4,412.5,11.6352,IL,no
316,1993,959.7,11.4,381.2,11.72598,IL,no
317,1994,960.9,11.7,372.6,11.80499,IL,no
318,1995,996.1,10.3,330.8,11.88494,IL,no
319,1996,890.4,10,279.4,11.953,IL,no
320,1997,861.4,9.2,278.4,12.01151,IL,no
321,1998,807.7,8.4,248.5,12.06977,IL,no
322,1999,732.5,7.7,219.4,12.12837,IL,no
323,1977,310.6,7.4,123.2,5.425637,IN,yes
324,1978,323.5,6.2,121.4,5.470213,IN,yes
325,1979,338,8.3,132.7,5.501176,IN,yes
326,1980,377.8,8.9,141.4,5.490721,IN,yes
327,1981,341.6,7.1,129,5.480425,IN,yes
328,1982,300.6,6.5,109,5.467927,IN,yes
329,1983,283.8,5.2,99.9,5.450402,IN,yes
330,1984,305.2,5.5,98.9,5.458328,IN,yes
331,1985,309.4,5.8,92.1,5.459216,IN,yes
332,1986,307.7,6,90,5.454114,IN,yes
333,1987,328.5,5.6,88.6,5.473009,IN,yes
334,1988,380,6.4,89,5.491734,IN,yes
335,1989,406.5,6.3,101.4,5.523684,IN,yes
336,1990,473.9,6.2,101.3,5.555097,IN,yes
337,1991,505.3,7.5,116,5.602062,IN,yes
338,1992,508.5,8.2,122.2,5.648649,IN,yes
339,1993,489.1,7.5,119.8,5.701965,IN,yes
340,1994,525.1,7.9,130.2,5.745626,IN,yes
341,1995,524.7,8,135.2,5.791819,IN,yes
342,1996,537,7.2,124.1,5.834908,IN,yes
343,1997,514.6,7.3,132.4,5.87237,IN,yes
344,1998,431,7.7,111.2,5.907617,IN,yes
345,1999,374.6,6.6,109.3,5.942901,IN,yes
346,1977,144,2.3,41.2,2.913573,IA,no
347,1978,161.4,2.6,46.9,2.918071,IA,no
348,1979,181.2,2.2,50.2,2.915739,IA,no
349,1980,200.4,2.2,54.9,2.914018,IA,no
350,1981,204.2,2.6,53.6,2.907975,IA,no
351,1982,172.7,2.3,36.2,2.88819,IA,no
352,1983,181.1,2.3,41,2.87055,IA,no
353,1984,198.7,2,38.3,2.858624,IA,no
354,1985,211.7,1.9,41.2,2.829685,IA,no
355,1986,235.1,1.8,42,2.791966,IA,no
356,1987,231.2,2.1,36.2,2.767005,IA,no
357,1988,256.8,1.7,39.9,2.768392,IA,no
358,1989,266.3,1.9,39,2.770585,IA,no
359,1990,299.7,1.9,39.2,2.779769,IA,no
360,1991,303.3,2,45,2.791227,IA,no
361,1992,278,1.6,39.6,2.806923,IA,no
362,1993,325.5,2.3,53.9,2.820525,IA,no
363,1994,315.1,1.7,46.9,2.829422,IA,no
364,1995,354.4,1.8,53,2.84086,IA,no
365,1996,272.5,1.9,45.1,2.848473,IA,no
366,1997,310,1.8,55.9,2.854396,IA,no
367,1998,311.5,1.9,50.9,2.861025,IA,no
368,1999,280,1.5,36.6,2.869413,IA,no
369,1977,309.8,6.6,100.7,2.320647,KS,no
370,1978,318.2,5.7,93.7,2.335657,KS,no
371,1979,353.6,5.5,102.3,2.350908,KS,no
372,1980,389.3,6.9,113.1,2.369039,KS,no
373,1981,369.4,6.3,109.7,2.384859,KS,no
374,1982,335.9,5.7,87,2.401211,KS,no
375,1983,326.6,5.6,84,2.415537,KS,no
376,1984,334.2,3.7,71.6,2.424076,KS,no
377,1985,355.8,4.9,78.7,2.427412,KS,no
378,1986,368.8,4.4,79.6,2.432616,KS,no
379,1987,360.7,4.4,82.1,2.445387,KS,no
380,1988,365.2,3.4,85.9,2.461987,KS,no
381,1989,400.8,5.5,99.8,2.472847,KS,no
382,1990,447.7,4,117.6,2.480683,KS,no
383,1991,499.6,6.1,138.4,2.495209,KS,no
384,1992,510.8,6,129.9,2.526042,KS,no
385,1993,496.4,6.4,123.6,2.547605,KS,no
386,1994,443,6.7,115.1,2.569118,KS,no
387,1995,420.7,6.2,108.2,2.586942,KS,no
388,1996,413.8,6.6,96.3,2.598266,KS,no
389,1997,409.2,6,93.3,2.616339,KS,no
390,1998,397,5.9,86.8,2.638667,KS,no
391,1999,382.8,6,77.1,2.654052,KS,no
