date,Cases,County,Day,Week
2020-11-30,453,Butler,D1,W1
2020-12-01,461,Butler,D2,W1
2020-12-02,466,Butler,D3,W1
2020-12-03,356,Butler,D4,W1
2020-12-04,326,Butler,D5,W1
2020-12-05,266,Butler,D6,W1
2020-12-06,253,Butler,D7,W1
2020-12-07,371,Butler,D1,W2
2020-12-08,379,Butler,D2,W2
2020-12-09,358,Butler,D3,W2
2020-12-10,280,Butler,D4,W2
2020-12-11,318,Butler,D5,W2
2020-12-12,253,Butler,D6,W2
2020-12-13,225,Butler,D7,W2
2020-12-14,366,Butler,D1,W3
2020-12-15,314,Butler,D2,W3
2020-12-16,265,Butler,D3,W3
2020-12-17,255,Butler,D4,W3
2020-12-18,261,Butler,D5,W3
2020-12-19,197,Butler,D6,W3
2020-12-20,216,Butler,D7,W3
2020-12-21,313,Butler,D1,W4
2020-12-22,256,Butler,D2,W4
2020-12-23,221,Butler,D3,W4
2020-12-24,188,Butler,D4,W4
2020-12-25,133,Butler,D5,W4
2020-12-26,214,Butler,D6,W4
2020-12-27,223,Butler,D7,W4
2020-12-28,346,Butler,D1,W5
2020-12-29,241,Butler,D2,W5
2020-12-30,305,Butler,D3,W5
2020-12-31,265,Butler,D4,W5
2021-01-01,166,Butler,D5,W5
2021-01-02,229,Butler,D6,W5
2021-01-03,215,Butler,D7,W5
2021-01-04,302,Butler,D1,W6
2021-01-05,281,Butler,D2,W6
2021-01-06,238,Butler,D3,W6
2021-01-07,200,Butler,D4,W6
2021-01-08,182,Butler,D5,W6
2021-01-09,130,Butler,D6,W6
2021-01-10,169,Butler,D7,W6